eXoID	MobyID	Game	Safe	File	Folder	Year	Publisher	Developer	Genre	Perspective	SubGenre	Misc	Series	URL	Collection	Notes	Compilation?	Foreign?	Add-On Included?	3D Graphics Card	3DFX Enabled	Video Modes	Video Resolution	SC55 Enabled	MT32 Enabled	Tandy Sound Enabled	Printer Support?	Max Players	Min CPU
DOS16196		!Bingo Granny!	!Bingo Granny!	!Bingo Granny! (2002).zip	BingoGr	2002	Freeware	Phillip Gervais	Adventure; Simulation						Y													1	
DOS03966	7457	...A Personal Nightmare	Personal Nightmare	Personal Nightmare (1989).zip	pnite	1989	Box Office, Inc.	Horror Soft Ltd.	Adventure	1st-Person Perspective	Horror		Theme: Horror	http://www.mobygames.com/game/a-personal-nightmare	Y							CGA; EGA						1	Intel 8088 / 8086
DOS15191		.386 Spys	386 Spys	386 Spys (1989).zip	386Spys	1989	Genki Software	Genki Software	Action; Racing & Driving				Genre: Spy	https://www.old-games.ru/game/4297.html	Y													1	
DOS06212	20097	¿Quien es Cualo?	Quien es Cualo	Quien es Cualo (1994).zip	Quien94	1994	BASS Software	BASS Software	Board Game / Party Game		Board / Party Game			http://www.mobygames.com/game/quien-es-cualo	Y													1	
DOS15189		+K	+K	+K (1996).zip	+K	1996	Freeware	Luis Crespo	Action; Platform					https://www.old-games.ru/game/6303.html	Y													1	
DOS07724	94674	µLabyrinth3d game	MLabyrinth	MLabyrinth (1993).zip	mlab93	1993	Gamos Ltd.	Gamos Ltd.	Puzzle					http://www.mobygames.com/game/mlabyrinth	Y													1	
DOS02881	2236	007 James Bond: The Stealth Affair	James Bond 007 - The Stealth Affair	James Bond 007 - The Stealth Affair (1990).zip	ostealth	1990	Interplay Productions, Inc.	Delphine Software International	Action; Adventure		Detective / Mystery, Puzzle-Solving, Spy / Espionage	Licensed Title	James Bond licensees; Genre: Spy	http://www.mobygames.com/game/007-james-bond-the-stealth-affair	Y							CGA; VGA; EGA; Hercules; Tandy / PCjr; MCGA			Y			1	Intel 8088 / 8086
DOS00603	4586	007: Licence to Kill	007 - Licence to Kill	007 - Licence to Kill (1989).zip	007Licen	1989	Domark Software Ltd.	Quixel	Action; Racing & Driving; Shooter	3rd-Person Perspective, Top-Down	Arcade, Helicopter, Naval, Shooter, Spy / Espionage	Licensed Title	James Bond licensees; Genre: Spy	http://www.mobygames.com/game/007-licence-to-kill	Y							CGA; EGA; Hercules; Tandy / PCjr						1	Intel 8088 / 8086
DOS00624	1115	1 Ton	1 Ton	1 Ton (1996).zip	1Ton	1996	Freeware	Martin Magni	Action		Shooter			http://www.mobygames.com/game/1-ton	Y													1	
DOS07738	96180	1,000 Miler	1000 Miler	1000 Miler (1987).zip	1000mile	1987	Softdisk Publishing	Karen Middaugh	Board Game / Party Game; Strategy					http://www.mobygames.com/game/1000-miler	Y													2	
DOS00605	12691	1000 Miglia	1000 Miglia	1000 Miglia (1992).zip	1000Migl	1991				3rd-Person Perspective				http://www.mobygames.com/game/1000-miglia	Y							VGA						1	Intel 8088 / 8086
DOS00012		10Rogue	10Rogue	10Rogue (1984).zip	10Rogue	1984	Codebusters	Codebusters	Role-Playing				Rogue variants / Roguelikes; Theme: Fantasy		Y													1	
DOS00610	15116	10th Frame	10th Frame	10th Frame (1987).zip	10thFram	1987	U.S. Gold Ltd.	Access Software, Inc.	Sports / Bowling	3rd-Person Perspective				http://www.mobygames.com/game/10th-frame	Y							CGA						8	Intel 8088 / 8086
DOS15963		120 Degrees Below Zero	120 Degrees Below Zero	120 Degrees Below Zero (2012).zip	120Deg	2012	Freeware	Jeremiah Nellis	Adventure						Y													1	
DOS07258	69244	123-Talk	123-Talk	123-Talk (1993).zip	123Talk	1993	Freeware	Creative Educational Software Inc.	Education					http://www.mobygames.com/game/123-talk	Y							VGA; EGA						1	
DOS00614	51865	15 Move Hole Puzzle	15 Move Hole Puzzle	15 Move Hole Puzzle (1994).zip	15move	1994	DEMONsoft	DEMONsoft	Puzzle / Sliding block & tile	Platform	Adult, Board / Party Game, Puzzle-Solving		Genre: Sliding block / tile puzzle	http://www.mobygames.com/game/15-move-hole-puzzle	Y													1	
DOS00615	41726	15x15	15x15	15x15 (1996).zip	15x15	1996	IFTECH Software AB	Nikita Ltd.	Puzzle / Sliding block & tile		Puzzle-Solving		Genre: Sliding block / tile puzzle	http://www.mobygames.com/game/15-x-15	Y													1	
DOS00616	41728	16	16	16 (1996).zip	16STR	1996	Freeware	Unknown	Puzzle / Sliding block & tile		Puzzle-Solving		Genre: Sliding block / tile puzzle	http://www.mobygames.com/game/16sliding	Y													1	
DOS00617	2600	1830: Railroads and Robber Barons	1830 Railroads and Robber Barons	1830 Railroads and Robber Barons (1995).zip	1830	1995	The Avalon Hill Game Company	SimTex, Inc.	Board Game / Party Game; Construction and Management Simulation; Strategy	Top-Down	Board / Party Game, Managerial, Train	Licensed Title	Board / Party Game translations	http://www.mobygames.com/game/1830-railroads-robber-barons	Y							VGA		Y	Y			6	Intel i386 SX
DOS00618	2068	1869	1869	1869 (1992).zip	1869	1992							Merchant / Trade-oriented games	http://www.mobygames.com/game/1869historyexperience	Y							VGA						4	Intel 80286
DOS00619	1170	1942: The Pacific Air War	1942 The Pacific Air War	1942 The Pacific Air War (1994).zip	1942PAW	1994				1st-Person Perspective	Flight, Historical Battle (specific/exact)	Editor / Construction Set	Historical Conflict: World War II	http://www.mobygames.com/game/1942-the-pacific-air-war	Y							VGA		Y	Y			2	Intel i386 SX
DOS07689	90918	1993	1993	1993 (1992).zip	1993	1993	IFTECH Software AB	Nikita Ltd.	Action				Theme: Sci-Fi	http://www.mobygames.com/game/nineteenninetythree	Y													1	
DOS00621	26991	1993tris	1992tris	1992tris (1993).zip	1993tris	1993	Freeware	Unknown	Puzzle / Falling block puzzle		Puzzle-Solving, Real-Time		Genre: Falling block puzzle	http://www.mobygames.com/game/1993tris	Y							EGA						1	
DOS00622	55315	1994Pool+	1994Pool+	1994Pool+ (1994).zip	1994Pool	1994	Ninano Software Co.	Ninano Software Co.	Sports / Pool & Snooker	Top-Down			Sports: Pool	http://www.mobygames.com/game/1994pool	Y							VGA						2	Intel i386
DOS07261	66980	1995Card+	1995Card+	1995Card+ (1994).zip	1995Card	1994	Freeware	Ninano Software Co.	Casino		Cards / Tiles			http://www.mobygames.com/game/1995card	Y							EGA (Tweaked); VGA (Tweaked)						1	
DOS07262	69341	1998 Amerika	1998 Amerika	1998 Amerika (1987).zip	1998Amer	1987	Freeware	Pasadena Software	Board Game / Party Game; Strategy		Board / Party Game			http://www.mobygames.com/game/1998-amerika	Y													1	
DOS00623	17745	1st Person Pinball	1st Person Pinball	1st Person Pinball (1989).zip	1stPerso	1989	Tynesoft Computer Software	Cirrus Software	Action; Pinball	1st-Person Perspective, 3rd-Person Perspective	Pinball			http://www.mobygames.com/game/1st-person-pinball	Y							CGA; EGA						4	
DOS15190		2 Fast 4 You	2 Fast 4 You	2 Fast 4 You (1995).zip	2Fast4U	1995								https://www.old-games.ru/game/5011.html	Y													2	
