eXoID	Game	Folder	sdl__fulldouble	sdl__fullfixed	sdl__output	sdl__autolock	sdl__sensitivity	sdl__mapperfile	sdl__usescancodes	sdl__overscan	sdl__titlebar	sdl__showmenu	dosbox__machine	dosbox__vmemsize	dosbox__memsize	render__char9	render__doublescan	render__autofit	vsync__vsyncmode	cpu__core	cpu__cputype	cpu__cycles	cpu__cycleup	cpu__cycledown	keyboard__aux	pci__voodoo	pci__voodoomem	mixer__rate	mixer__blocksize	mixer__prebuffer	midi__mpu401	midi__mididevice	midi__fluid_dot_soundfont	midi__fluid_dot_gain	midi__mt32_dot_romdir	midi__mt32_dot_output_dot_gain	sblaster__sbtype	sblaster__sbbase	sblaster__goldplay	sblaster__irq	sblaster__dma	sblaster__hdma	sblaster__sbmixer	sblaster__oplmode	sblaster__oplemu	sblaster__oplrate	gus__gus	gus__gusrate	gus__gusdma	gus__ultradir	innova__innova	speaker__ps1audio	speaker__ps1audiorate	speaker__pcspeaker	speaker__pcrate	speaker__wizpopfix	speaker__tandy	speaker__tandyrate	speaker__disney	joystick__joysticktype	joystick__timed	joystick__buttonwrap	dos__xms	dos__ems	dos__umb	dos__keyboardlayout	ipx__ipx	ne2000__ne2000	ne2000__macaddr	log__logfile
DOS00604	The $100,000 Pyramid	$100000P			openglnb			mapper.map					ega									300																																																
DOS05904	High $take$	$takes			openglnb			mapper.map					svga_s3		64								500						2048	10																	true															true				none				
DOS15189	+K	+K			openglnb			mapper.map					svga_s3		63															25																	true																							
DOS00603	007: Licence to Kill	007Licen			openglnb			mapper.map					svga_s3		8							1400	1000																																															
DOS00605	1000 Miglia	1000Migl			openglnb			mapper.map					svga_s3		64																																																							
DOS07738	1,000 Miler	1000mile			openglnb			mapper.map					svga_s3		32							600																																																
DOS00012	10Rogue	10Rogue			openglnb			mapper.map					svga_s3																																																									
DOS00610	10th Frame	10thFram			openglnb			mapper.map					svga_s3		64																																																							
DOS00613	The 11th Hour	11thHour			openglnb			mapper.map					svga_s3		32							30000	500					49716					.\mt32\SoundCanvas.sf2		.\mt32									opl3	nuked	49716																								
DOS15963	120 Degrees Below Zero	120Deg			openglnb			mapper.map					svga_s3		63							12000																																																
DOS07258	123-Talk	123Talk			openglnb			mapper.map					svga_s3																																																									
DOS00614	15 Move Hole Puzzle	15move			openglnb			mapper.map					svga_s3																																																									
DOS07259	The 15 Puzzle	15Puzz82			openglnb			mapper.map					svga_s3									350																																																
DOS00615	15x15	15x15			openglnb			mapper.map					svga_s3		64																																																							
DOS00616	16	16STR			openglnb			mapper.map					svga_s3																																																									
DOS00617	1830: Railroads and Robber Barons	1830			openglnb			mapper.map					svga_s3		64							10000						49716					.\mt32\SoundCanvas.sf2		.\mt32		sbpro2							opl3	nuked	49716																								
DOS00618	1869	1869			openglnb			mapper.map					svga_s3		64																																																							
DOS00619	1942: The Pacific Air War	1942PAW			openglnb			mapper.map	false				svga_s3		32							15000								20		mt32	.\mt32\SoundCanvas.sf2		.\mt32												true												false				false	false	false					
DOS07689	1993	1993			openglnb			mapper.map					svga_s3									9000																																																
DOS00621	1993tris	1993tris			openglnb			mapper.map					svga_s3		64																																																							
DOS00622	1994Pool+	1994Pool			openglnb			mapper.map					svga_s3		64																																																							
DOS07261	1995Card+	1995Card			openglnb			mapper.map					svga_s3																																																									
DOS07262	1998 Amerika	1998Amer			openglnb			mapper.map					svga_s3																																																									
DOS02228	First Expedition	1stexp			openglnb			mapper.map					svga_s3		64																																																							
DOS00623	1st Person Pinball	1stPerso			openglnb			mapper.map					svga_s3									800																																																
DOS00624	1 Ton	1Ton			openglnb			mapper.map					svga_s3		32							30000																																																
DOS00625	20,000 Leagues Under the Sea	20000			openglnb			mapper.map					svga_s3		64								500						2048	10																	true															true				none				
DOS07769	2048x2048	20482048			openglnb			mapper.map					svga_s3		32							30000																																																
DOS07263	21	21Sim			openglnb			mapper.map					cga									350																																																
DOS00630	221B Baker St.	221baker			openglnb			mapper.map					svga_s3		64							1500	500						2048	10																	true															true				none				
DOS00631	2400 A.D.	2400ad			openglnb			mapper.map					svga_s3		8							400	500						2048	10																	true															true				none				
DOS15188	25	25			openglnb			mapper.map					svga_s3		63															25																																								
DOS17471	Two Days at the Race	2DaysR			openglnb			mapper.map					cga		32							25000																																																
DOS15190	2 Fast 4 You	2Fast4U			openglnb			mapper.map					svga_s3		63															25																																								
DOS00278	2x2	2x2			openglnb			mapper.map					svga_s3																																																									
DOS00636	3-D Body Adventure	3-DBodyA			openglnb			mapper.map					svga_s3		63							20000										mt32	.\mt32\SoundCanvas.sf2		.\mt32																																			
DOS00644	3-D TableSports	3-DTable			openglnb			mapper.map	false				svga_s3		32															20		mt32	.\mt32\SoundCanvas.sf2		.\mt32												true												false											
DOS15191	.386 Spys	386Spys			openglnb			mapper.map					svga_s3		63							3000								25																																	false	false	false					
DOS06492	3 Card High Low Poker	3chlp			openglnb			mapper.map					svga_s3		8																																																							
DOS17472	3D Alchemy	3DAlchem			openglnb			mapper.map					svga_s3									30000						49716					.\mt32\SoundCanvas.sf2		.\mt32									opl3	nuked	49716	true																				true			
DOS15194	3D Ball	3DBall87			openglnb			mapper.map					svga_s3		63							500								25																																								
DOS00635	3D Ball Blaster	3DBallBl			openglnb			mapper.map					svga_s3		32							30000																																																
DOS15192	3D Baller	3DBaller			openglnb			mapper.map					svga_s3		63							30000								25																																								
DOS00637	3D Bomber	3DBomber			openglnb			mapper.map					svga_s3		63							max										mt32	.\mt32\SoundCanvas.sf2		.\mt32																																			
DOS00639	3DCube	3DCube			openglnb			mapper.map					svga_s3		64																																																							
DOS15964	3D CyberPuck	3DCyPuck			openglnb			mapper.map					svga_s3		32							30000																																													true			
DOS00641	3-Demon	3Demon			openglnb			mapper.map					svga_s3									200																																																
DOS15195	3Detris	3Detris			openglnb			mapper.map					svga_s3		63															25																																								
DOS00268	3D Hamster's Adventure	3dham			openglnb			mapper.map					svga_s3									15000																										44100 start																						
DOS07834	3DHero	3DHero			openglnb			mapper.map					svga_s3		63															20																																	false	false	false					
DOS00286	3D Pinball	3DPinba			openglnb			mapper.map					svga_s3		8							600																																			on													
DOS00643	3-D Pitfall	3dpitfal			openglnb			mapper.map					svga_s3		64																																																							
DOS15196	3D Space Fighter	3DSF			openglnb			mapper.map					svga_s3		63							75000								25																																								
DOS07264	3D Trek	3DTrek			openglnb			mapper.map					svga_s3																																																									
DOS00645	3-D Tic-Tac-Toe	3dttt			openglnb			mapper.map					svga_s3		64																																																							
DOS00287	3DWorld	3DWorld			openglnb			mapper.map					svga_s3									15000																																																
DOS00646	3D World Boxing	3DWorldB			openglnb			mapper.map					svga_s3		64																																																							
DOS07265	3D Xmas Adventure: Santa's Rescue	3DXmas			openglnb			mapper.map					svga_s3																																																									
DOS05826	3-K Trivia	3ktriv			openglnb			mapper.map					svga_s3									300																																																
DOS00648	3 Point Basketball	3PointBa			openglnb			mapper.map					svga_s3		64																																																							
DOS05119	Three Sisters' Story	3sis			openglnb			mapper.map					svga_s3		64								500						2048	10																	true															true				none				
DOS00649	3 Skulls of the Toltecs	3SKULLS			openglnb			mapper.map					svga_s3		64							max						49716					.\mt32\SoundCanvas.sf2		.\mt32									opl3	nuked	49716																								
DOS00650	4-D Boxing	4-DBoxin			openglnb			mapper.map	false				svga_s3		32															20		mt32	.\mt32\SoundCanvas.sf2		.\mt32												true												false											
DOS07858	40080	40080			openglnb			mapper.map					svga_s3																																																									
DOS17263	4-4-2 Soccer	442			openglnb			mapper.map					svga_s3		64							75000						49716					.\mt32\SoundCanvas.sf2		.\mt32									opl3	nuked	49716																								
DOS07869	4 Balls Billiards	4BallB			openglnb			mapper.map					svga_s3																																																									
DOS02286	Four Card Solitaire	4cardsol			openglnb			mapper.map					svga_s3									300																																																
DOS02287	The Four Crystals of Trazere	4crysTr			openglnb			mapper.map	false				svga_s3		32															20		mt32	.\mt32\SoundCanvas.sf2		.\mt32												true												false											
DOS00651	4D Prince of Persia	4DPrince			openglnb			mapper.map					svga_s3																																																									
