eXoID	Setup
DOS00001	Parameters added to boot command
DOS00002	No setup found
DOS00003	No setup found
DOS00004	No setup found
DOS00005	No setup found
DOS00006	No setup found
DOS00007	No setup found
DOS00008	Options during startup
DOS00009	No setup found
DOS00010	No setup found
DOS00011	No setup found
DOS00012	No setup found
DOS00013	No setup found
DOS00014	No setup found
DOS00015	No setup found
DOS00016	No setup found
DOS00017	No setup found
DOS00018	No setup found
DOS00019	Embedded in batchfile
DOS00020	No setup found
DOS00021	No setup found
DOS00022	No setup found
DOS00023	No setup found
DOS00024	No setup found
DOS00025	No setup found
DOS00026	Options during startup
DOS00027	No setup found
DOS00028	No setup found
DOS00029	No setup found
DOS00030	No setup found
DOS00031	No setup found
DOS00032	No setup found
DOS00033	No setup found
DOS00034	Options during startup
DOS00035	No setup found
DOS00036	No setup found
DOS00037	No setup found
DOS00038	No setup found
DOS00039	No setup found
DOS00040	No setup found
DOS00041	No setup found
DOS00042	No setup found
DOS00044	No setup found
DOS00045	No setup found
DOS00046	No setup found
DOS00047	Options during startup
DOS00048	No setup found
DOS00049	No setup found
DOS00050	No setup found
DOS00051	No setup found
DOS00052	No setup found
DOS00053	Options during startup
DOS00054	No setup found
DOS00055	No setup found
DOS00056	No setup found
DOS00057	No setup found
DOS00058	No setup found
DOS00059	No setup found
DOS00060	No setup found
DOS00061	No setup found
DOS00063	No setup found
DOS00064	No setup found
DOS00065	No setup found
DOS00066	No setup found
DOS00067	No setup found
DOS00068	No setup found
DOS00069	No setup found
DOS00070	No setup found
DOS00071	No setup found
DOS00072	No setup found
DOS00073	No setup found
DOS00074	No setup found
DOS00075	No setup found
DOS00076	No setup found
DOS00077	No setup found
DOS00078	No setup found
DOS00079	No setup found
DOS00080	No setup found
DOS00081	No setup found
DOS00082	No setup found
DOS00083	No setup found
DOS00084	No setup found
DOS00085	No setup found
DOS00086	No setup found
DOS00087	No setup found
DOS00088	No setup found
DOS00089	No setup found
DOS00090	No setup found
DOS00091	No setup found
DOS00092	No setup found
DOS00093	No setup found
DOS00094	No setup found
DOS00095	No setup found
DOS00096	No setup found
DOS00097	No setup found
DOS00098	No setup found
DOS00099	No setup found
DOS00100	No setup found
DOS00101	No setup found
DOS00102	No setup found
DOS00103	No setup found
DOS00104	No setup found
DOS00105	No setup found
DOS00106	No setup found
DOS00107	No setup found
DOS00108	No setup found
DOS00109	No setup found
DOS00110	No setup found
DOS00111	No setup found
DOS00112	No setup found
DOS00114	No setup found
DOS00115	No setup found
DOS00116	No setup found
DOS00117	No setup found
DOS00118	SETUP.EXE
DOS00119	No setup found
DOS00120	No setup found
DOS00121	No setup found
DOS00122	No setup found
DOS00124	No setup found
DOS00125	No setup found
DOS00126	No setup found
DOS00127	No setup found
DOS00128	No setup found
DOS00129	No setup found
DOS00130	No setup found
DOS00131	No setup found
DOS00132	No setup found
DOS00133	No setup found
DOS00134	No setup found
DOS00135	No setup found
DOS00136	No setup found
DOS00137	No setup found
DOS00138	No setup found
DOS00139	No setup found
DOS00140	C-CONFIG.EXE
DOS00141	No setup found
DOS00142	No setup found
DOS00143	No setup found
DOS00144	No setup found
DOS00145	No setup found
DOS00146	No setup found
DOS00147	No setup found
DOS00148	No setup found
DOS00149	No setup found
DOS00150	No setup found
DOS00151	No setup found
DOS00152	No setup found
DOS00153	Options during startup
DOS00154	No setup found
DOS00155	No setup found
DOS00156	No setup found
DOS00157	No setup found
DOS00158	No setup found
DOS00159	No setup found
DOS00160	No setup found
DOS00161	No setup found
DOS00162	No setup found
DOS00163	No setup found
DOS00164	No setup found
DOS00165	No setup found
DOS00166	Options during startup
DOS00167	No setup found
DOS00168	No setup found
DOS00169	No setup found
DOS00170	No setup found
DOS00171	No setup found
DOS00172	No setup found
DOS00173	No setup found
DOS00174	No setup found
DOS00175	No setup found
DOS00176	No setup found
DOS00177	No setup found
DOS00178	No setup found
DOS00179	No setup found
DOS00180	No setup found
DOS00181	No setup found
DOS00182	No setup found
DOS00183	No setup found
DOS00184	Options during startup
DOS00185	No setup found
DOS00186	No setup found
DOS00187	Options during startup
DOS00188	No setup found
DOS00189	No setup found
DOS00190	Optional executeables
DOS00191	No setup found
DOS00192	No setup found
DOS00193	No setup found
DOS00194	No setup found
DOS00195	No setup found
DOS00196	No setup found
DOS00197	No setup found
DOS00198	No setup found
DOS00199	No setup found
DOS00200	No setup found
DOS00201	No setup found
DOS00202	No setup found
DOS00204	No setup found
DOS00205	No setup found
DOS00206	No setup found
DOS00207	No setup found
DOS00208	No setup found
DOS00210	No setup found
DOS00211	No setup found
DOS00212	No setup found
DOS00213	Options during startup
DOS00214	No setup found
DOS00215	Options during startup
DOS00216	No setup found
DOS00217	SETTINGS.EXE
DOS00218	No setup found
DOS00219	No setup found
DOS00220	No setup found
DOS00221	Options during startup
DOS00222	No setup found
DOS00223	No setup found
DOS00224	No setup found
DOS00226	No setup found
DOS00227	No setup found
DOS00228	No setup found
