eXoID	Game	Folder	AutoexecEcho	AutoexecMounts	AutoexecPrelauncher1	AutoexecPrelauncher2	AutoexecPrelauncher3	AutoexecPrelauncher4	AutoexecExecuteable	AutoexecLastMountPath	AutoexecLastPathChange	AutoexecPathChanges	Adir	Bdir	Cdir	Ddir	ExitFound	DOSBoxVersion	ScummVM
DOS00604	The $100,000 Pyramid	$100000P		C;;$100000P;|					pyramid	c:	$100000P	c:\$100000P pyramid|			$100000P		Yes	dosbox.exe	
DOS05904	High $take$	$takes		C;;;|					call autoexec	c:	$takes	c:\$takes call autoexec|					Yes	dosbox.exe	
DOS15189	+K	+K		C;;+K;|					maska sb	c:		c: maska sb|			+K		Yes	ece4230\dosbox.exe	
DOS00603	007: Licence to Kill	007Licen		C;;;|					BONDE	c:	007Licen	c:\007Licen BONDE|					Yes	ece4230\dosbox.exe	
DOS00605	1000 Miglia	1000Migl		C;;;|					call RUNME	c:	1000Migl	c:\1000Migl call RUNME|					Yes	dosbox.exe	
DOS07738	1,000 Miler	1000mile		C;;1000mile;|					intrmile	c:		c: intrmile|			1000mile		Yes	dosbox.exe	
DOS00012	10Rogue	10Rogue		C;;10Rogue;|					10rogue	c:		c: 10rogue|			10Rogue		Yes	dosbox.exe	
DOS00610	10th Frame	10thFram		C;;10thFram;|					bowl	c:	10thFram	c:\10thFram bowl|			10thFram		Yes	dosbox.exe	
DOS00613	The 11th Hour	11thHour		C;;11thhour;|D;IMG;1.cue;-t iso|e;IMG;2.cue;-t iso|f;IMG;3.cue;-t iso|g;IMG;4.cue;-t iso|					call run	c:		c: call run|			11thhour	1.cue	Yes	ece4230\dosbox.exe	
DOS15963	120 Degrees Below Zero	120Deg		C;;120Deg;|					SCIV	c:		c: SCIV|			120Deg		Yes	ece4230\dosbox.exe	
DOS07258	123-Talk	123Talk		C;;123Talk;|					123_TALK	c:		c: 123_TALK|			123Talk		Yes	dosbox.exe	
DOS00614	15 Move Hole Puzzle	15move		C;;15move;|					movehole	c:	15move	c:\15move movehole|			15move		Yes	dosbox.exe	
