Identification FileName	Size	CRC32	eXoID	ZIP	Boot	Image	StartingExe	StartingExeSize	StartingExeCRC	IDFileFolder	Rowstart	Rowlines	eXoDOS entry?	Same ID, Name and Size	Unique File
TFB.EXE	99744	BAAE6095	DOS00001	Final Battle, The (1991).zip						FinBatt\					1
Fyleet.z5	141824	ECBE8CC6	DOS00002	Fyleet (1985).zip			frotz.exe	129024	57987597	fyleet\					1
KLOSHELL.EXE	59328	5CF6A119	DOS00003	Klaustrophobia (1994).zip			KLAUS.BAT	32	B9FE3220	klaust\					1
RUN.EXE	157296	4233DB3B	DOS00004	Runaway (1994).zip						runmonk\					1
MEI.EXE	258719	27CF43F0	DOS00005	Runaway City (1998).zip			PMDIBM.COM	10468	2796D92C	runcity\					1
SCROOGE.EXE	108656	2FB33FB7	DOS00006	Scrooge (1991).zip						scrooge\					1
ZAN.EXE	75801	6E4E3FD1	DOS00007	Treasury of Zan (1989).zip						Zan\zan\					1
VORTEX.EXE	28329	3F68D828	DOS00008	Vortex Factor, The (1985).zip						vortexf\					1
80DAYS.EXE	5980	52FBFEF9	DOS00009	Around the World in 80 Days (1994).zip			80DAYS.BAT	69	96A78910	atwi80d\					1
weather.z5	93696	F732318F	DOS00010	Change in the Weather, A (1995).zip			frotz.exe	129024	57987597	chanweat\					1
minster.z5	228352	C4BC0DB4	DOS00011	Christminster (1995).zip			frotz.exe	129024	57987597	chrimins\					1
10ROGUE.EXE	78344	DE6FC10C	DOS00012	10Rogue (1984).zip						10Rogue\					1
troi.d$$	34425	BAB3F3DE	DOS00013	Night With Troi, A (1988).zip			troi.bat	29	2BBBE24E	ANightWi\					1
SAMPLE.ADV	12906	6D9C7E83	DOS00014	Quick Run Around the House, A (1991).zip			ADVEN2.EXE	139316	E3540DFF	AQuickRu\					1
adventur.exe	64512	5401D31A	DOS00015	Adventure (1987).zip						Adv87\					1
BOOT.EXE	23168	7C67A0C1	DOS00016	AdventureWriter (1983).zip						AdvWrite\					1
african.bas	30025	E1B9B2FE	DOS00017	African Adventure Or In Search of Dr. Livingston (1997).zip			african.exe	58283	BD60E009	AfricanA\					1
AMIS.EXE	57664	906A2EF4	DOS00018	A-MIS Adventure (1993).zip						AMISAdv\					1
c.img	10321920	486BC68A	DOS00019	Art D's Batch Adventure (1993).zip	Boot					adnext\					1
CCAKE.EXE	127944	F6F850C9	DOS00020	Arthur Yahtzee - The Curse of Hell's Cheesecake (2000).zip						ArthurYa\					1
ASIA.EXE	118034	C132841F	DOS00021	Asian Challenge, The (1989).zip						AsianCha\					1
atomia.com	23568	758CF555	DOS00022	Atomia Akorny (1992).zip						AtomiaAk\					1
BAD-BAD.EXE	66206	AF372668	DOS00023	Bad-Bad (1986).zip						BadBad\					1
PHIL.D$$	97443	74F949DC	DOS00024	Battle of Philip against the Forces of Creation, The (1989).zip			PHIL.BAT	11	B0E41C6E	Battleof\					1
BEASLEY.EXE	10080	A44A84B2	DOS00025	Beasley's Deathtrap (1993).zip						Beasleys\					1
EGAORB.EXE	44016	2FBAEBEA	DOS00026	Black Orb, The (1989).zip						BlackOrb\					1
BLOODY.D$$	157221	4A986E57	DOS00027	Bloody Life, A! (1998).zip			BLOODY.BAT	44	826157EF	BloodyLi\					1
BRAINSC2.COM	60112	43229B08	DOS00028	Brainscape (1986).zip						Brainsca\					1
VOL.0	48472	D337FBFD	DOS00029	King's Quest I - Quest for the Crown (1987).zip			SIERRA.COM	3121	C1B11DC9	kq1\					1
KQ2V11H1.IMG	368640	4107B044	DOS00030	King's Quest II - Romancing the Throne (1985).zip	Boot					KQ2pcjr\					1
BREATH.EXE	214348	FE0290C9	DOS00031	Breath Pirates (1997).zip						BreathPi\					1
BS.GAM	194718	45DEE6C8	DOS00032	Broken String, The - The Punk Adventure (1996).zip			TR.EXE	238384	98F7D47E	BrokenSt\					1
MEW.EXE	94700	B675BCBB	DOS00033	Castle Of Mew (1991).zip						CastleOf\					1
CHAOS.EXE	74520	D9272286	DOS00034	Chaos in Space! (2002).zip						ChaosinS\					1
