eXoID	MobyID	Collection	Game	Safe	File Name	Publisher	Developer	Year	Genre	URL	Notes	Compilation	Folder
355w	20630	Y	101 Dalmatians: Escape From DeVil Manor	101 Dalmatians - Escape From DeVil Manor	101 Dalmatians - Escape From DeVil Manor (1997).zip	Disney Interactive, Inc.	DreamForge Intertainment, Inc.	1997	Adventure	http://www.mobygames.com/game/win3x/101-dalmatians-escape-from-devil-manor	Win32s		101Dalma
359w	1537	Y	1942: The Pacific Air War Gold	1942 - The Pacific Air War Gold	1942 - The Pacific Air War Gold (1994).zip	MicroProse Software, Inc.	MicroProse Software, Inc.	1994	Simulation	http://www.mobygames.com/game/win3x/1942-the-pacific-air-war-gold			1942-The
59w		Y	20,000 Leagues Under The Sea	20 -000 Leagues Under The Sea (1995)	20,000 Leagues Under The Sea (1995).zip	New Media Schoolhouse	Softkey Multimedia	1995	Educational				20k3x
1762w	103255	Y	3D Atlas	3D Atlas '98	3D Atlas '98 (1997).zip	Creative Wonders LLC	The MultiMedia Corporation plc	1997	Educational	http://www.mobygames.com/game/3d-atlas			3DAtlas
248w	21032	Y	3-D Dinosaur Adventure: Anniversary Edition	3 -D Dinosaur Adventure - Anniversary Edition	3-D Dinosaur Adventure Anniversary Edition (1997).zip	Knowledge Adventure, Inc.	Knowledge Adventure, Inc.	1997	Adventure, Educational	http://www.mobygames.com/game/win3x/3-d-dinosaur-adventure-anniversary-edition			3DDino3x
249w	38971	Y	3D Maze	3D Maze	3D Maze (1991).zip	Odin Software Development	Odin Software Development	1991	Strategy	http://www.mobygames.com/game/win3x/3d-maze			3DMaze
1330w		Y	3D Pumpkin Puzzles	3D Pumpkin Puzzles	3D Pumpkin Puzzles (1998).zip	Freeware	Freeware	1998	Strategy				Amb3DPP
250w	51144	Y	3D Thinking Lab	3D Thinking Lab	3D Thinking Lab (1998).zip	Edmark Corporation	Edmark Corporation	1998	Educational, Strategy	http://www.mobygames.com/game/win3x/3d-thinking-lab			3DThinki
251w	2295	Y	3-D Ultra Minigolf	3 -D Ultra Minigolf	3-D Ultra Minigolf (1997).zip	Sierra On-Line, Inc.	Dynamix, Inc.	1997		http://www.mobygames.com/game/win3x/3-d-ultra-minigolf			3DUPMG
252w	935	Y	3-D Ultra Pinball	3 -D Ultra Pinball	3-D Ultra Pinball (1995).zip	Sierra On-Line, Inc.	Dynamix, Inc.	1995	Action	http://www.mobygames.com/game/win3x/3-d-ultra-pinball			3DUP
253w	1506	Y	3-D Ultra Pinball: Creep Night	3 -D Ultra Pinball - Creep Night	3-D Ultra Pinball - Creep Night (1996).zip	Sierra On-Line, Inc.	Dynamix, Inc.	1996	Action	http://www.mobygames.com/game/win3x/3-d-ultra-pinball-creep-night			3DUPCN
255w	3205	Y	3-D Ultra Pinball: The Lost Continent	3 -D Ultra Pinball - The Lost Continent	3-D Ultra Pinball - The Lost Continent (1997).zip	Sierra On-Line, Inc.	Dynamix, Inc.	1997	Action	http://www.mobygames.com/game/win3x/3-d-ultra-pinball-the-lost-continent			3DUPLC
1350w		Y	3DPC	3DPC	3DPC (1993).zip	Forte	Forte	1993	App				3DPC
1393w	70640	Y	4 Play	4 Play	4 Play (1993).zip	Freeware	Freeware	1993	Strategy	http://www.mobygames.com/game/win3x/4-play			4play
365w	2176	Y	9: The Last Resort	9 - The Last Resort	9 - The Last Resort (1996).zip	GT Interactive Software Corp.	Tribeca Interactive	1996	Adventure	http://www.mobygames.com/game/win3x/9-the-last-resort			9-TheLas
1922w		Y	A Hard Day's Night	Hard Day's Night, A	Hard Day's Night, A (1993).zip			1993					HardDayA
94w	86154	Y	A to Zap!	A to Zap!	A to Zap! (1995).zip	Suburst Communications		1995	Educational	http://www.elisoftware.org/index.php?title=A_To_Zap!_(PC_and_Mac,_CD-ROM)_Sunburst_Communications_-_1995_USA,_Canada_Release			A2Zap
