eXoID	Game	Folder	sdl__fulldouble	sdl__fullfixed	sdl__output	sdl__autolock	sdl__sensitivity	sdl__mapperfile	sdl__usescancodes	sdl__overscan	sdl__titlebar	sdl__showmenu	dosbox__machine	dosbox__vmemsize	dosbox__memsize	render__char9	render__doublescan	render__autofit	vsync__vsyncmode	cpu__core	cpu__cputype	cpu__cycles	cpu__cycleup	cpu__cycledown	keyboard__aux	pci__voodoo	pci__voodoomem	mixer__rate	mixer__blocksize	mixer__prebuffer	midi__mpu401	midi__mididevice	midi__fluid_dot_soundfont	midi__fluid_dot_gain	midi__mt32_dot_romdir	midi__mt32_dot_output_dot_gain	sblaster__sbtype	sblaster__sbbase	sblaster__goldplay	sblaster__irq	sblaster__dma	sblaster__hdma	sblaster__sbmixer	sblaster__oplmode	sblaster__oplemu	sblaster__oplrate	gus__gus	gus__gusrate	gus__gusdma	gus__ultradir	innova__innova	speaker__ps1audio	speaker__ps1audiorate	speaker__pcspeaker	speaker__pcrate	speaker__wizpopfix	speaker__tandy	speaker__tandyrate	speaker__disney	joystick__joysticktype	joystick__timed	joystick__buttonwrap	dos__xms	dos__ems	dos__umb	dos__keyboardlayout	ipx__ipx	ne2000__ne2000	ne2000__macaddr	log__logfile
355w	101 Dalmatians: Escape From DeVil Manor	101Dalma			openglnb			mapper-0.74.map					svga_s3		32						486_slow	75000								20																																								
359w	1942: The Pacific Air War Gold	1942-The			openglnb			mapper.map	false				svga_s3		32							15000								20		mt32	.\mt32\SoundCanvas.sf2		.\mt32												true												false	none			false							
59w	20,000 Leagues Under The Sea	20k3x			openglnb			mapper-0.74.map					svga_s3		32							65000								20																																								
373w	Activision's Atari 2600 Action Pack	2600p1			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
374w	Activision's Atari 2600 Action Pack 2	2600p2			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
1877w	Second Conflict	2ndConf			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
1762w	3D Atlas '98	3DAtlas			openglnb			mapper-0.74.map					svga_s3		32							65000								20																																								
248w	3-D Dinosaur Adventure: Anniversary Edition	3DDino3x			openglnb			mapper-0.74.map					svga_s3		63							45000								20																																								
249w	3D Maze	3DMaze			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
1350w	3DPC	3DPC			openglnb			mapper-0.74.map					svga_s3		32						486_slow									20																																								
250w	3D Thinking Lab	3DThinki			openglnb			mapper-0.74.map					svga_s3		32						486_slow	max								20																																								
252w	3-D Ultra Pinball	3DUP			openglnb			mapper-0.74.map					svga_s3		63					dynamic	pentium_slow	max								20																																								
253w	3-D Ultra Pinball: Creep Night	3DUPCN			openglnb			mapper-0.74.map					svga_s3		63						pentium_slow	max								20		fluidsynth	.\mt32\SoundCanvas.sf2	.2	.\mt32																																			
255w	3-D Ultra Pinball: The Lost Continent	3DUPLC			openglnb			mapper-0.74.map					svga_s3		63						pentium_slow	45000								20		fluidsynth	.\mt32\SoundCanvas.sf2	.2	.\mt32																																			
251w	3-D Ultra Minigolf	3DUPMG			openglnb			mapper-0.74.map					svga_s3		63						pentium_slow	max								20		fluidsynth	.\mt32\SoundCanvas.sf2	.2	.\mt32																																			
1390w	Four Footed Friends	4FootFnd			openglnb			mapper-0.74.map					svga_s3		32							30000								20																																								
1393w	4 Play	4play			openglnb			mapper-0.74.map					svga_s3		32						486_slow									20																																								
365w	9: The Last Resort	9-TheLas			openglnb			mapper-0.74.map					svga_s3		31							max								20																																		false						
1874w	Nine Worlds	9Worlds			openglnb			mapper-0.74.map					svga_s3		32							65000								20																																								
94w	A to Zap!	A2Zap			openglnb			mapper-0.74.map					svga_s3		32						486_slow	60000								20																																								
1924w	Amazing Animals Activity Pack	AAAC			direct3d			mapper-0.74.map					svga_s3		63							55000								20																																								
1923w	Alice's Adventures in Wonderland	AAiW			openglnb			mapper-0.74.map					svga_s3		63							55000								20																																								
437w	The Awesome Adventures of Victor Vector & Yondo: The Cyberplasm Formula	AAVVCybe			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
439w	The Awesome Adventures of Victor Vector & Yondo: The Last Dinosaur Egg	AAVVDino			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
438w	The Awesome Adventures of Victor Vector & Yondo: The Hypnotic Harp	AAVVHypn			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
440w	The Awesome Adventures of Victor Vector & Yondo: The Vampire's Coffin	AAVVVamp			openglnb			mapper-0.74.map					svga_s3		64							8000								20																																								
366w	Abalone	Abalone			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
331w	The Adventures of Batman & Robin Cartoon Maker	abrCM			openglnb			mapper-0.74.map					svga_s3									10000								20																																								
370w	Ace Ventura	AceVentu			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
371w	Achtung Spitfire	AchtungS			openglnb			mapper-0.74.map					svga_s3		64						pentium_slow	max								20																																								
98w	After Dark 3.2	adark3			openglnb			mapper-0.74.map					svga_s3		32															20																																								
1927w	The Adventures of Batman and Robin: Activity Center	AdvBRAC			openglnb			mapper-0.74.map					svga_s3		63							55000								20																																								
95w	Adventures With Oslo: Tools and Gadgets	AdvOslo			openglnb			mapper-0.74.map					svga_s3		32						486_slow	55000								20																																								
379w	The Adventures of Pinocchio	AdvPinoc			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
380w	The Adventures of Valdo & Marie	AdvVald			openglnb			mapper-0.74.map					svga_s3		64						pentium_slow	max								20													false																											
215w	Aesop's Fables	AesopF			openglnb			mapper-0.74.map					svga_s3		32						486_slow	65000								20																																								
381w	AFL Finals Fever	AFLFinal			openglnb			mapper-0.74.map					svga_s3		64							20000								20																																								
382w	Africa Trail	AfricaTr			openglnb			mapper-0.74.map					svga_s3		64						pentium_slow	max								20																																								
384w	Age of Sail	AgeofSai			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
386w	Air Havoc Controller	AirHavoc			openglnb			mapper-0.74.map					svga_s3		63							max								20																																								
387w	Alge-Blaster 3	Alge-Bla			openglnb			mapper-0.74.map					svga_s3		64						pentium_slow	max								20																																								
352w	Alien Arcade	aliarca			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
388w	Alice: An Interactive Museum	Alice-In			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
389w	Alien Force	AlienFor			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
390w	Aliens	Aliens3x			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
391w	AlienTic	AlienTic			openglnb			mapper-0.74.map					svga_s3		32							max								20																																								
65w	Alien Tales	AliTales			openglnb			mapper-0.74.map					svga_s3		32															20																																								
392w	Allied General	AlliedGe			openglnb			mapper-0.74.map					svga_s3		64						pentium_slow	max								20																																								
237w	The Gigglebone Gang: AlphaBonk Farm	alphbonk			openglnb			mapper-0.74.map					svga_s3									max								20																																								
393w	Al Unser, Jr. Arcade Racing	AlUnserJ			openglnb			mapper-0.74.map					svga_s3		32						486_slow	15000								20																																								
41w	Amanda Stories	AmandaSt			openglnb			mapper-0.74.map					svga_s3		32															20																																								
394w	Amazing Mazez to Amaze	AmazingM			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
395w	Amazon Skulls	AmazonSk			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
1330w	3D Pumpkin Puzzles	Amb3DPP			openglnb			mapper-0.74.map					svga_s3		32						486_slow	65000								20																																								
7w	AI v2	ambAI			openglnb			mapper-0.74.map					svga_s3		32							12000								20																																								
1w	Hero's Adventure	ambHA			openglnb			mapper-0.74.map					svga_s3		32							9000								20																																								
1329w	Kid's Pumpkin Puzzles	AmbKPP			openglnb			mapper-0.74.map					svga_s3		32						486_slow	65000								20																																								
8w	Meteor Mash	ambMash			openglnb			mapper-0.74.map					svga_s3		32															20																																								
2w	Mission: Caduceus	ambMC			openglnb			mapper-0.74.map					svga_s3		32							15000								20																																								
1331w	Mystery Egg	AmbME			openglnb			mapper-0.74.map					svga_s3		32						486_slow	65000								20																																								
1332w	Monster in the Park	AmbMitP			openglnb			mapper-0.74.map					svga_s3		32						486_slow	65000								20																																								
9w	Night Before Christmas	ambNBC			openglnb			mapper-0.74.map					svga_s3		32															20																																								
1333w	Off the Tracks	AmbOtT			openglnb			mapper-0.74.map					svga_s3		32						486_slow	65000								20																																								
10w	Pharoah's Curse	ambPC			openglnb			mapper-0.74.map					svga_s3		32															20																																								
1334w	Reindeer Mazes	AmbRein			openglnb			mapper-0.74.map					svga_s3		32						486_slow	65000								20																																								
3w	Robinhood & Marian	ambRM			openglnb			mapper-0.74.map					svga_s3		32															20																																								
4w	Space Doubt	ambSD			openglnb			mapper-0.74.map					svga_s3		32															20																																								
5w	The Secret of Easter Island	ambSEI			openglnb			mapper-0.74.map					svga_s3		32															20																																								
11w	Shark!	ambShrk			openglnb			mapper-0.74.map					svga_s3		32															20																																								
12w	Vampire	ambVamp			openglnb			mapper-0.74.map					svga_s3									45000								20																																								
1335w	Valentine Puzzles '98	AmbVP			openglnb			mapper-0.74.map					svga_s3		32						486_slow	65000								20																																								
6w	The Will	ambWill			openglnb			mapper-0.74.map					svga_s3		32							9000								20																																								
397w	American Civil War: From Sumter to Appomattox	Ameri3x			openglnb			mapper-0.74.map					svga_s3		32						486_slow	40000								20																																								
222w	The American Girls Premiere	AmGirl			openglnb			mapper-0.74.map					svga_s3		32							75000								20																																								
398w	Anastasia: Adventures with Pooka and Bartok!	Anastasi			openglnb			mapper-0.74.map					svga_s3		64						pentium_slow	max								20																																								
102w	Animation Hangman	AniHang			openglnb			mapper-0.74.map					svga_s3		32						486_slow	50000								20																																								
399w	AnnaTommy	AnnaTomm			openglnb			mapper-0.74.map					svga_s3		64						486_slow	65000								20																																								
400w	Anyone for Cards?	Anyonefo			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
1396w	APBA presents Baseball for Windows	APBABBall			openglnb			mapper-0.74.map					svga_s3		63							max								20																																								
401w	Aquaman: War of the Water Worlds	Aquaman-			openglnb			mapper-0.74.map					svga_s3		64						pentium_slow	max								20																																								
402w	Arcade America	ArcadeAm			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
403w	Arcade Mania	ArcadeMa			openglnb			mapper-0.74.map					svga_s3		64						pentium_slow	max								20																																								
404w	Arc of Doom	ArcofDoo			openglnb			mapper-0.74.map					svga_s3		32							40000								20																																								
405w	Area D	AreaD			openglnb			mapper-0.74.map					svga_s3		64						pentium_slow	max								20																																								
223w	Arthur's Birthday	arthbday			openglnb			mapper-0.74.map					svga_s3		32															20																																								
407w	Arthur's Reading Race	ArthursR			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
408w	ArtRageous!	ArtRageo			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
2466w	AssTroids	Asstroid			openglnb			mapper-0.74.map					svga_s3		63							max								20																																								
409w	Astronomica: The Quest for the Edge of the Universe	Astronom			openglnb			mapper-0.74.map					svga_s3		64						pentium_slow	max								20																																								
396w	The Amazon Trail	AT3x			openglnb			mapper-0.74.map					svga_s3		32							65000								20													false																											
410w	Atmoids	Atmoids			openglnb			mapper-0.74.map					svga_s3		64							3000								20																																								
411w	Atmosfear: The Third Dimension	Atmosfea			openglnb			mapper-0.74.map					svga_s3		64							max								20																																								
1389w	Atomic Chill	AtomChll			openglnb			mapper-0.74.map					svga_s3		32							65000								20																																								
