eXoID	Game	Folder	AutoexecEcho	AutoexecMounts	AutoexecPrelauncher1	AutoexecPrelauncher2	AutoexecPrelauncher3	AutoexecPrelauncher4	AutoexecExecuteable	AutoexecLastMountPath	AutoexecLastPathChange	AutoexecPathChanges	Adir	Bdir	Cdir	Ddir	ExitFound	DOSBoxVersion
355w	101 Dalmatians: Escape From DeVil Manor	101Dalma		C;;101Dalma;|D;IMG;101_ESCAPE.img;-t iso|					101	c:	disney\escape	c:\disney\escape 101|			101Dalma	101_ESCAPE.img	Yes	ece4230\DOSBox.exe
359w	1942: The Pacific Air War Gold	1942-The		C;;1942-The;-freesize 500|D;;1942-The\cd;-t cdrom|	path=C:\;z:\;c:\windows\;d:\;d:\gold\				call run	c:		c: path=C:\;z:\;c:\windows\;d:\;d:\gold\| call run|			1942-The	1942-The\cd	Yes	ece4230\DOSBox.exe
59w	20,000 Leagues Under The Sea	20k3x		C;;20k3x;|D;IMG;cd.cue;-t cdrom|	path=C:\;z:\;c:\windows\				win runexit 20000	c:	20000	c: path=C:\;z:\;c:\windows\|\20000 win runexit 20000|			20k3x	cd.cue	Yes	ece4230\DOSBox.exe
373w	Activision's Atari 2600 Action Pack	2600p1		C;;2600p1;|D;;2600p1\cd;-t cdrom|	path=C:\;z:\;c:\windows\				win	c:	2600p1	c: path=C:\;z:\;c:\windows\|\2600p1 win|			2600p1	2600p1\cd	Yes	ece4230\DOSBox.exe
374w	Activision's Atari 2600 Action Pack 2	2600p2		C;;2600p2;|D;;2600p2\cd;-t cdrom|	path=C:\;z:\;c:\windows\				win	c:	2600p2	c: path=C:\;z:\;c:\windows\|\2600p2 win|			2600p2	2600p2\cd	Yes	ece4230\DOSBox.exe
1877w	Second Conflict	2ndConf		C;;2ndConf;|	path=C:\;z:\;c:\windows\				win runexit SCW	c:	floppy	c: path=C:\;z:\;c:\windows\|\floppy win runexit SCW|			2ndConf		Yes	ece4230\DOSBox.exe
1762w	3D Atlas '98	3DAtlas		C;;3DAtlas;|D;IMG;cd.iso;-t cdrom|	path=C:\;z:\;c:\windows\				win runexit Atlas98	c:	Atlas98	c: path=C:\;z:\;c:\windows\|\Atlas98 win runexit Atlas98|			3DAtlas	cd.iso	Yes	ece4230\DOSBox.exe
248w	3-D Dinosaur Adventure: Anniversary Edition	3DDino3x		C;;3DDino3x;|D;IMG;3D_DINOSAUR.ISO;-t cdrom|	path=C:\;z:\;c:\windows\;c:\ka\dino3d\				win	c:	ka\dino3d	c: path=C:\;z:\;c:\windows\;c:\ka\dino3d\|\ka\dino3d win|			3DDino3x	3D_DINOSAUR.ISO	Yes	ece4230\DOSBox.exe
249w	3D Maze	3DMaze		C;;3DMaze;|	path=C:\;z:\;c:\windows\				win runexit .\cd\3dmaze	c:	3DMaze	c: path=C:\;z:\;c:\windows\|\3DMaze win runexit .\cd\3dmaze|			3DMaze		Yes	ece4230\DOSBox.exe
1350w	3DPC	3DPC		A;;3DPC\FLOPPY;-t floppy|C;;3DPC;|	path=C:\;z:\;c:\windows\				win c:\3dpc\3dpc.exe	c:		c: path=C:\;z:\;c:\windows\| win c:\3dpc\3dpc.exe|	3DPC\FLOPPY		3DPC		Yes	ece4230\DOSBox.exe
250w	3D Thinking Lab	3DThinki		C;;3DThinki;|D;IMG;cd.cue;-t cdrom|	path=C:\;z:\;c:\windows\				win runexit launch	c:	.\edmark\ginsu	c: path=C:\;z:\;c:\windows\|\.\edmark\ginsu win runexit launch|			3DThinki	cd.cue	Yes	ece4230\DOSBox.exe
