Identification FileName	Size	CRC32	eXoID	ZIP	Boot	Image	StartingExe	StartingExeSize	StartingExeCRC	IDFileFolder
election.exe	2042304	F4FB4661	1000w	Power Politics (1992).zip						PowerPol\ELECTION\
PR.EXE	453632	657983AC	1001w	Power Rangers Zeo Versus The Machine Empire (1996).zip						PowerRan\RANGERS\
PDHPRO.EXE	1345055	CA2EFA0F	1003w	Prairie Dog Hunt Pro (1995).zip						PDHunt\cd\
PDHPRO97.EXE	1849656	58EE5272	1004w	Prairie Dog Hunt Pro '97 (1997).zip						PDHunt97\cd\
cd.BIN	474231408	1FDC4E42	1005w	Prehistoric Animals (1999).zip		image				PreHAni\CD\
PROGRAM.EXE	262656	8CFC9F35	1006w	Prince Interactive (1994).zip						PrinceIn\INTRACTV\
PROFIT.EXE	2027159	7A873785	1007w	Profitania (1998).zip						Profitan\PROFIT\
PROLIF.EXE	2048448	A85CDFA7	1008w	Proliferation (1995).zip						Prolifer\PROLIFER\
i100_203.img	104767488	86D5B829	1009w	The Psychotron (1994).zip	boot					ThePsych\
RAPUNZEL.EXE	535840	488C0010	100w	Magic Fairy Tales - Barbie As Rapunzel (1997).zip						MFTBarb\MATTEL\BARBIE\RAPUNZEL\
TEKE2WIN.EXE	837632	4F2888A5	1010w	P.T.O. - Pacific Theater of Operations II (1996).zip						PTO-Paci\PTO2WIN\
ACTIVITY.EXE	30720	19764FE7	1011w	Putt-Putt and Fatty Bear's Activity Pack (1995).zip						PPFB3x\HEGAMES\
BALLOON.EXE	21648	503C7934	1012w	Putt-Putt and Pep's Balloon-o-Rama (1996).zip						PuttBall\HEGAMES\
DOG.EXE	21648	BC2F01DF	1013w	Putt-Putt and Pep's Dog on a Stick (1996).zip						PuttDoS\HEGAMES\
PUTTRACE.EXE	21696	E785174D	1014w	Putt-Putt Enters the Race (1998).zip						PuttRace\HEGAMES\
cd.iso	144943104	C6FA159E	1015w	Putt-Putt Goes to the Moon (Win)(1993).zip		image				PuttMN3x\CD\
Putt-Putt_1_JoinsTheParade.bin	253004640	AD9A6BFE	1016w	Putt-Putt Joins the Parade (Win)(1992).zip		image				PuttPR3x\CD\
PUTTZOO.EXE	30720	110F13E3	1017w	Putt-Putt Saves the Zoo (1995).zip						PuttZoo\HEGAMES\
PUTTTIME.EXE	21616	0D3DA3C8	1019w	Putt-Putt Travels Through Time (1997).zip						PuttTime\HEGAMES\
STORYMAKER.bin	397963104	AB4D1644	101w	Barbie Storymaker (1996).zip		image				BarbStor\CD\
PYRAMID.EXE	33576	A82273F7	1020w	Pyramid - Challenge of the Pharaoh's Dream (1996).zip						Pyramid-\MHHI\PYRAMID\
PYST16.EXE	1034847	D7A05422	1021w	Pyst (1997).zip						Pyst\PYST\
QIN.EXE	2759680	0C76E20A	1023w	Qin - Tomb of the Middle Kingdom (1995).zip						Qin-Tomb\QIN\
QGATE.EXE	490960	CE5527C8	1024w	Quantum Gate (1993).zip						QuantumG\QGATE\
QPL1.bin	752957520	6D1F421D	1025w	Queensryche's Promised Land (1996).zip		image	run.bat	542	E63DE2D1	Queensry\
RESOURCE.WIN	234	3B559C3B	1029w	Quest for Glory IV - Shadows of Darkness (Win)(1993).zip						qfg43x\SIERRA\QG4CD\
cd.BIN	411806976	8E9C1D18	102w	Animation Hangman (1996).zip		image				AniHang\CD\
QWIRKS.EXE	294324	A68423A1	1031w	Qwirks (1995).zip						Qwirks\cd\
cd.BIN	634861248	99551640	1032w	Radio Active (1994).zip		image				RadioAct\cd\
RATS.EXE	200704	127A6F5B	1039w	Rats! (1994).zip						Rats!\cd\
RATTLER.EXE	70226	4C0F1523	1040w	Rattler Race (1991).zip						RattlerR\cd\
RAVES.EXE	1000911	94778E3C	1041w	Rave Shuttle - The Cosmic Challenge (1997).zip						RaveShut\RAVES\
Martian.Chronicles.bin	712592496	023B130B	1042w	Ray Bradbury's The Martian Chronicles Adventure Game (1996).zip		image				RayBradb\cd\
RR2CD.EXE	258576	8336FBE1	1043w	Reader Rabbit 2 (1993).zip						RRabb2\TLCWIN\RR2CDWIN\
RR3WINCD.EXE	576512	A1408ED1	1044w	Reader Rabbit 3 (1996).zip						RRabb3\TLCWIN\RR3WINCD\
RRK20.iso	654393344	73A27921	1045w	Reader Rabbit's Kindergarten (1997).zip		image				RRabbK\cd\
RR1CD16.EXE	1020416	8C9DB779	1046w	Reader Rabbit's Reading 1 (1997).zip						Rrabb1\TLCWIN\RR1\
RRTW32.EXE	227433	3C403F1B	1047w	Reader Rabbit's Toddler (1997).zip						RRabbT\TLCWIN\RRT\
RVBJ.EXE	108904	3FDDBF8F	1049w	Real Video Blackjack (1995).zip						RVidBJ\RVBJ\
BASEBALL.EXE	21616	297D30F5	104w	Backyard Baseball (1997).zip						BackBase\HEGAMES\
RVP.EXE	115816	90E4EB4D	1050w	Real Video Poker (1994).zip						RealVP\RVP\
REELJFK.EXE	686867	C40D9E61	1051w	Reelect JFK (1994).zip						ReelectJ\REELJFK\
REFLUX1.bin	416238144	1DD5634F	1052w	Reflux - Issue 01 - The Becoming (1995).zip		image				Reflux-I\cd\
RENJU11P.EXE	68608	7EDD21D1	1053w	Renju (1994).zip						Renju\cd\
BAD_DAY.EXE	742342	8E044ACD	1054w	The Residents' Bad Day on the Midway (1995).zip						BadDayM\BAD_DAY\
SIERRAW.EXE	803365	755EA73F	1055w	Phantasmagoria (Win)(1995).zip						Phan3x\SIERRA\SCARY\
Robert E. Lee - Civil War General.iso	512321536	DCB80272	1056w	Robert E Lee - Civil War General (1996).zip		image				RobertEL\cd\
ROBO.EXE	883712	F2F52770	1057w	RoboSport (1991).zip						RoboSpor\ROBOWIN\
ROBOTCTY.EXE	1493568	5DE59220	1058w	Robot City (1995).zip						RobotCit\RC\
RODNEYSW.EXE	159232	E936D88F	1059w	Rodney's Funscreen (Win)(1992).zip						Rod3x\cd\
BIGJOB.EXE	666240	563C7F3B	105w	Big Job (1996).zip						BigJob\DISCOVER\BIGJOB\
VOODOO.EXE	866187	F57A04E4	1060w	Rolling Stones Voodoo Lounge CD-ROM (1995).zip						RollingS\VOODOO\
RollOver.exe	1596858	A3A39E22	1061w	RollOver (1997).zip						RollOver\cd\
RTK4WIN.EXE	707392	502B58A7	1062w	Romance of the Three Kingdoms IV - Wall of Fire (1996).zip						Romanceo\ROMANCE4\
i100_203.img	104767488	4F16A089	1065w	The Sacred Mirror of Kofun (1996).zip	boot					TheSacre\
SAF.EXE	82128	6EC80022	1066w	Safety Monkey (1994).zip						SafetyMo\MAYO\SAF\
SAMMY.EXE	695296	9FE3AE3D	1067w	Sammy's Science House (1994).zip						SammysSc\EDMARK\SAMMY\
SAVAGE.ISO	289880064	D9EDF2D0	1068w	Savage - The Ultimate Quest for Survival (1996).zip		image				Savage-T\cd\
MSBEARTH.EXE	208256	92298AD9	1069w	Scholastic's The Magic School Bus Explores Inside the Earth (1996).zip						MSBEarth\MSKIDS\MSBEARTH\
GHOST.bin	447604416	0.00E+00	106w	Blinky Bill's Ghost Cave (1996).zip		image				BBGhCave\CD\
MSBHUMAN.EXE	166080	025CA856	1071w	Scholastic's The Magic School Bus Explores the Human Body (1994).zip						MSBHuman\MSKIDS\MSBHUMAN\
MSBSEA.EXE	196864	5B98F255	1072w	Scholastic's The Magic School Bus Explores the Ocean (1995).zip						MSBOcean\MSKIDS\MSBOCEAN\SYSTEM\
SLAUGHTR.EXE	813355	D0C8DE7A	1073w	Schoolyard Slaughter (1994).zip						Schoolya\SLAUGHTR\
SCRABBLE.EXE	1984289	6704D60D	1074w	Scrabble (1996).zip						Scrab3x\SCRABBLE\
SECRETS.EXE	938231	987ABA52	1076w	Secrets of the Luxor (1996).zip						SecLuxor\SECRETS\
PYRAMID.EXE	377328	3540F9FC	1077w	Secrets of the Pyramids (1994).zip						SecPyra\PYRAMID\
golfwin.exe	239616	23C300B4	1078w	Sensible Golf (Win)(1994).zip						sgolf3x\CD\
cd.BIN	768732384	E22433C6	1079w	Sesame Street Elmo's Preschool (1996).zip		image				SSElmoP\cd\
CANDYLND.bin	235501056	7B274238	107w	Candy Land Adventure (1996).zip						CandyLAD\CD\
cd.BIN	766561488	128E9347	1080w	Sesame Street - Get Set To Learn (1996).zip		image				SSGStL\cd\
WOW.EXE	406032	2AF332F6	1081w	Sesame Street - Let's Make a Word! (1995).zip						SSLMaW\CWONDERS\LMAW\
SFCAVE.EXE	48390	EF99A6B1	1082w	SFCave (1995).zip						SFCave\cd\
SFPD.EXE	696847	61357C5D	1083w	SFPD Homicide - Case File - The Body in the Bay (1995).zip						SFPDHomi\SFHD\
SHADOW.EXE	458240	3AD61223	1084w	Shadowgate (1993).zip						Shadowga\SHADOW\
CAIRN.EXE	253952	6E25ED0B	1085w	Shadows of Cairn (Win)(1994).zip						SCairn3x\CAIRN\WINEXE\
SHGM.EXE	322603	EBCB0B74	1087w	Shanghai - Great Moments (1995).zip						ShangGM\SHGM\
SHANGHAI.EXE	144144	D966E792	1088w	Shanghai II - Dragon's Eye (1994).zip						Shang2DE\cd\
SHEILA.EXE	298496	6693E5A8	1089w	Sheila Rae the Brave (1996).zip						SheilaRa\cd\
CAPPIG.EXE	1308672	501CB8F1	108w	Capitalist Pig (1992).zip						CapPig\CAPPIG\
SHINE.EXE	1937650	410EC407	1090w	Shine (1996).zip						Shine\SHINE\
SIERRAW.EXE	793472	EE4992B7	1091w	Shivers (1995).zip						Shivers\SIERRA\SHIVERS\
RESOURCE.WIN	723	7DA9D86B	1092w	Shivers Two - Harvest of Souls (1997).zip						ShiversT\SIERRA\SHIVERS2\
CIV.EXE	833024	86DDDA90	1093w	Sid Meier's Civilization (1993).zip						Civ3x\MPS\CIVWIN\
CIV2.EXE	1764880	3A9D8A75	1094w	Sid Meier's Civilization II (1996).zip						Civ2\MPS\CIV2\
SC2000W.EXE	11632	1C2E3CB9	1096w	SimCity 2000 - CD Collection (1993).zip			run.bat	378	8671CCC3	SimC23x\
CASINO2.EXE	766464	A1D1F53E	109w	Casino Deluxe 2 (1996).zip						CasDLX2\SIERRA\DELUXE2\
PHRCRS.EXE	169924	18EC4E31	10w	Pharoah's Curse (1998).zip						ambPC\WINDOWS\PHRCRS\
WGAIA.EXE	269824	8BA6A603	1104w	SimEarth - The Living Planet (Win)(1990).zip						SimEa3x\MAXIS\EARTHWIN\
WSIMFARM.EXE	2039872	E99ABCB1	1105w	SimFarm (1996).zip						SimFa3x\SIMFARMW\
SIMLIFEW.EXE	718336	D1D6FD07	1106w	SimLife (Win)(1992).zip						SimLi3x\MAXIS\SIMLIFE\
SIMON.EXE	21888	12F3C45A	1107w	Simon (1991).zip						Simon\cd\
SIMPARK.EXE	646656	B270F06E	1108w	SimPark (1996).zip						SimPark\MAXIS\SIMPARK\
SIMPSONS.EXE	3368957	A787C7E1	1109w	The Simpsons Cartoon Studio (1996).zip			run.bat	445	4A3C81A5	TheSimps\
MMBJ.EXE	137456	5F990DD3	110w	Casino Master (1996).zip						CasiMast\MMCASINO\
SIMTOWER.EXE	6566400	4839FFA7	1110w	SimTower - The Vertical Empire (1995).zip						SimTower\SIMTOWER\
SIMTOWN.EXE	1982496	F07DFC3E	1111w	SimTown (1995).zip						SimTown\SIMTOWN\
SIXFEET.EXE	75264	4CE744BF	1112w	Six Feet Under (1994).zip						SixFeetU\cd\
SKAT2010.EXE	13648	FD5FA2D4	1113w	Skat 2010 (1993).zip						Skat2010\SKAT2010\
SKAT_SW.EXE	612400	D3C0A330	1114w	Skat 2095 (1996).zip						Skat2095\SKAT2095._SW\
SKAT3000.EXE	1037024	3AB035CC	1115w	Skat 3000 (1999).zip						Skat3000\SKAT3000._SH\
SKI.EXE	88848	708512F3	1116w	SkiFree (1991).zip						SkiFree\
SC.EXE	583680	74FC9982	1117w	Skull Cracker (1996).zip						SkullCra\SKULL\
WSLAM.EXE	76480	CC613D30	1118w	Slam! (1993).zip						Slam!\cd\
SLAY.EXE	140288	43D2CA80	1119w	Slay (1995).zip						Slay\cd\
CASPER.EXE	38056	A2FBF50B	111w	Casper Brainy Book (1995).zip						CaspBB\KA\CASPER\
SGC1.EXE	296448	E9B3B7BF	1121w	Smart Games Challenge #1 (1996).zip						SGC1\SMRTGAMS\SGC1\
SGPC2.EXE	77824	95495A9C	1122w	Smart Games Puzzle Challenge 2 (1997).zip						SGC2\SMRTGAMS\SGPC2\
SGSJ.EXE	309760	76A3BF21	1123w	Smart Games Stratajams (1997).zip						SGStrat\SMRTGAMS\SGSJ\
SGWP1.EXE	230400	21AB2084	1124w	Smart Games Word Puzzles #1 (1996).zip						SGWordP\cd\
SCFS.bin	377757072	2074FA72	1126w	Snoopy's Campfire Stories (1996).zip		image				SnoopysC\cd\
SOLWIN.EXE	1032208	45DF180F	1129w	Solitaire Deluxe (1996).zip						SoliDlx\SOLDLX\
GOLF.EXE	158756	01D247F0	1130w	Solitaire Twin Pack (1995).zip			run.bat	390	342A865F	SoliTwin\
