eXoID	Folder	Zipfile	ZipSize	Game	Year	Developer	Publisher	Genre	Description	Series	Region	Rating	PlayMode	Manual	Favorite	xmlID
907w	MSEnt3	Microsoft Entertainment Pack 3 (1991).zip	27059217	Microsoft Entertainment Pack 3	1991	Microsoft Corporation	Microsoft Corporation	Cards / Tiles;Puzzle;Sports	The third Entertainment Pack from Microsoft, created for its new Windows 3.0, is a collection of the following games:   Fuji Golf  Klotski  LifeGenesis  SkiFree  TetraVex  TriPeaks  WordZap  ...and IdleWild (a collection of eight new screen savers).	Microsoft Entertainment Pack series; Sports: Golf		Not Rated	Single Player		false	f6f0cec6-3fa2-990f-0925-25b4f41f4972	
916w	MilliesM	Millie's Math House (1992).zip	220533710	Millie's Math House	1992	Theatrix Interactive, Inc.	Edmark Corporation	Education	Millie's Math House is the first game in Edmark's early line-up of educational games designed for very young children to use. The interface is completely point-and-click, with little to no text and instructions are given verbally.The player is taken directly to the main page where Millie perches on a desk in front of a row of cubicles, each of which takes the player to a math or pre-math activity.There are seven different activities in this game, and each activity has two modes; Explore and Discover and Question and Answer. The first mode encourages the player to click around and experiment, emphasizing that he is in charge. In Question and Answer mode, which is entered by clicking the animal inside the picture frame, a character will ask the player to perform tasks related to the current area. The following descriptions apply to Question and Answer Mode only:  Little, Middle, & Big -  the player is presented with three characters and an array of variously-sized shoes; each character will ask him to find a pair that fits their particular size.  Mouse House - after the player selects a simple or complex blueprint for a house, Frank Lloyd Mouse will ask him to find all the shapes to build it, one by one.  What's My Number? - standing concealed behind a curtain, Dorothy Duck tells the player how many objects she has; the player must select the same number and place them on the stage.  Bing & Boing - bouncy creature Boing creates a picture pattern and repeats it with something missing; the player is asked to finish it. Each picture also has its own associated sound, and if the player has a microphone he can replace the sounds with his own.  Build-A-Bug - the rabbit shows the player a plan for the number of body parts the bug should have (3 eyes, 8 legs, for example); the player must click the correct number from the top of the screen and the body part from the left.  Number Machine -  Annie the worm will ask the player to find a specific number on the cash register. Choosing the icons on the bottom right will raise the numbers on the keys up to 30.  Cookie Factory - Harley the horse wants a specific number of jellybeans on his cookie; the player must press the dispenser the correct number of timesThe game allows any number of tries in Question and Answer mode, the player is not penalized for wrong answers at any time. Parents are given several configuration options (Ctrl/Alt + A in Windows, Option/Command + A on a Mac), allowing them to disable music, printing, set the volume, allow exiting, or enable single switch input, which moves the arrow from choice to choice on screen with a click to indicate a selection.The game was originally designed for ages 2 - 5; with the inclusion of simple addition and subtraction and new levels in the updated version the age range may be extended.	Educational: Math \ Logic			Single Player		false	bad3a428-9ca8-3a15-d1b6-b6988b8b25c2	
1957w	FWAC	Free Willy Activity Center (1997).zip	274455004	Free Willy Activity Center	1997	Sound Source Interactive, Inc.	WarnerActive	Creativity;Education	Free Willy Activity Center Sound Source Interactive 1997 is a game that involved playing activities to earn Certificates. The certificates were Crab, Dolphin, Octopus, Orca, Otter, Shark, Seahorse, Starfish, Blue Tang and Sea Turtle.[13][10][13][10]In the game you would play as a character called Mitch who asks if you're visiting SeaSide. He points to a boat called The Noah 2 where Doctor Poindextor teaches kids about sealife in the laboratory envoy. There is a Connies Art Shack on the beach where you can go and paint. There is a Seaside Cinema where you can help Smyly fix broken films then you can watch them. The Lighthouse Smithy is the keeper and he has a really cool game to play with the signal lights. Below the Lighthouse are the tide pools where Mitch can teach you a fun game where you match the animals. But the best part of Seaside is Willy the Orca Whale. Doctor Poindexter uses monitor signals the call Willy over to The Noah 2 which is really cool. Mitch offers to show you the place by clicking on where you would like to go.	Educational: Science		E - Everyone	Single Player		false	5efb12f3-21b4-4c7d-9271-4cd83ea5c5e9	
156w	TrivWorx	Trivia Worx (1995).zip	137443907	Trivia Worx	1995	SoftKey Multimedia Inc.	SoftKey Multimedia Inc.	Quiz	Trivia Worx is for anyone who enjoys a challenge and wants to learn new and amazing facts. You will have hours of fun playing this incredible multimedia CD! If you're reading this description, you're probably the kind of person who needs to know, wants to learn and loves a challenge.[13][10]This exciting trivia CD lets you learn new and amazing facts. Plus, have fun doing it! A great game for all ages…				Single Player		false	b07c98c5-18a2-6b82-deb2-b28f2597adeb	
1943w	DiscHist	Discover History (1997).zip	62118968	Discover History	1997	Arc Media	Arc Media	Education	The Discover series is a mind-expanding journey for children, who learn fascinating facts as they visit the wonders of the world and travel through time in a magical elevator.	Educational: History			Single Player		false	f273634a-6dbb-45cd-b28c-0f3b5c0d365e	
243w	battham	Battle Hamster (1995).zip	15504049	Battle Hamster	1995	Unknown	Freeware	Action;Fighting	It is a two-player battle to the finish with hamsters. There are no endings and only one character. One repetitive song is all there is for background music. A few cheesy sound effects make up the voice portion of the game. Special moves are few in number and only involve holding the down key and pressing an attack button. The only thing this game is really good for is its cuteness. If you like 'cutesy' fighting games, this one's for you.			Not Rated	Multiplayer		false	087cd247-a067-1a6d-97b7-b78c21db3145	
563w	Breakout	Breakout 3000 (1999).zip	16925387	Breakout 3000	1999	Markus Berg	Freeware	Action;Paddle / Pong	Like the name suggests, Breakout 3000 is a Breakout game. So you have a screen filled with bricks, a ball and a paddle. Destroy all bricks with the ball. Use the paddle to bounce the ball back into the playfield when it's about to leave the screen.The game offers 23 levels to play. The more levels you play, the faster will be the game, but also the more special bricks you encounter (exploding bricks, which destroys adjacent bricks; extra lives; etc.) and the more different background themes you will see.	Breakout variants		Not Rated	Single Player		false	2c7a407b-8b4a-fd5c-6de4-e44e69718a73	
232w	magtheat	Magic Theatre (1994).zip	45151684	Magic Theatre	1994	Instinct Corporation	Knowledge Adventure, Inc.	Creativity;Education	Magic Theatre is the award-winning software that brought the art of storytelling to the computer era by allowing kids as young as three to make their own movies. Simple to use, with Magic Theatre you can effortlessly blend animations, music, and your own narration and drawings to create short films – the only limit is your imagination. Developed with educators, artists, and most importantly – children – Magic Theatre provides not only endless entertainment, but also develops artistic, speech, and extemporization skills. All of these form the foundations for the communication skills essential in every part of life. And you give your kids this great start for free! It features click and drag animation that lets you make movies quickly and easily. Extensive libraries feature hundreds of animations, scenery, objects, paint effects, traces, sound effects, and music. It's equally suited for boys and girls. Verbal help and icon-based user interface enables even pre-readers to use Magic Theatre easily. Automatic coordination of sound and graphics renders the movies effortlessly synchronized. Movies are automatically saved and named, meaning no keyboard use or computer administration is required. Multiple scene feature permits movies to be of any length and complexity. Broadcast in places like YouTube using a free screen recorder.				Single Player		false	4a2f3634-c001-b61a-1b9d-9d7a6436978b	
679w	Entomb94	Entombed (1994).zip	215911225	Entombed	1994	Chaos Concepts Pty. Ltd	Software Creations	Adventure	In this adventure game the player controls an archaeologist who is looking for artifacts on Tarsus. But while searching the ruins he falls into a trap door and is suddenly in a big underground complex. Now he has to find a way back to the surface and discover the real purpose of this apparent tomb.The puzzles are mostly Myst-style logic puzzles on a big scale. To solve these puzzles the player has to search the tomb and perceive and understand the engravings of this old civilization. This knowledge is mostly used to put old machines into operation or deactivate deadly traps. The player quickly finds a notice book of another archaeologist who apparently already explored most of the complex. This serves as a subtle ingame help system - it doesn't give the solutions but hints to the nature of the puzzles.In 1997 it got a complete overhaul and was re-released as Entombed Enhanced.			Not Rated	Single Player		false	518cb393-387f-cc59-5561-61fb492d12e4	
334w	kidwork2	KidWorks 2 (1993).zip	38297545	KidWorks 2	1993	Davidson & Associates, Inc.	Davidson & Associates, Inc.	Creativity;Education	This innovative program provides a whole new reading and writing environment for young learners as they write, illustrate, and listen to their own original stories.[13][10][13][10]By combining a word processor, paint program, and advanced text-to-speech technology, Kid Works 2 lets children express themselves through words and pictures. Beginning readers learn to make the connection between symbols and printed words, while more advanced readers can put original ideas together to complete a story.[13][10]Delightful sound effects, different-sized stamps, lots of paint tools, and boxes full of picture icons provide children endless hours of fun. Pre-readers, beginning readers, and advanced readers will enjoy the program's many special features that enhance learning and motivate all children. Kids will enjoy exploring the program with its easy-to-use graphical environment. The colorful tools make using the program intuitive and easy for kids of all ages.[13][10][13][10]This innovative program provides a whole new reading and writing environment for young learners as they write, illustrate, and listen to their own original stories.[13][10][13][10]By combining a word processor, paint program, and advanced text-to-speech technology, Kid Works 2 lets children express themselves through words and pictures. Beginning readers learn to make the connection between symbols and printed words, while more advanced readers can put original ideas together to complete a story.[13][10]Delightful sound effects, different-sized stamps, lots of paint tools, and boxes full of picture icons provide children endless hours of fun. Pre-readers, beginning readers, and advanced readers will enjoy the program's many special features that enhance learning and motivate all children. Kids will enjoy exploring the program with its easy-to-use graphical environment. The colorful tools make using the program intuitive and easy for kids of all ages.			Not Rated	Single Player		false	ac8f1f01-8687-8022-036e-6ef96d42687d	
